doc_id,topic_id,summary,sentence_count
1818,How to Teach a Cat to Climb a Ladder1, Set up the ladder.  Cover the ladder in carpet.  Leave the ladder out.  Climb up the ladder yourself.  Coax the cat up.  Help the cat.,6
1819,How to Teach a Cat to Climb a Ladder2, Put the ladder in place.  Put treats at the top of the ladder.  Use a toy.  Tap the top of the ladder.  Try clicker training.  Wait and see.,6
1820,How to Stop a Cat from Biting or Scratching During Play1," Recognize play aggression.  Relax your extremities when bitten.  Say ""ouch"" and gently pull away.  Remove yourself from the play session.",4
1821,How to Target Train a Cat1, Choose an appropriate target.  Have treats ready.  Get a clicker.  Set aside time for training.  Find a quiet area.,5
1822,How to Stop a Cat from Biting or Scratching During Play2, Give your kitten time to socialize and learn how to play.  Don't use your fingers during playtime.  Use toys during playtime.  Schedule a regular playtime.  Avoid punishing tactics.,5
1823,How to Stop a Cat from Biting or Scratching During Play3, Cut your cat's claws.  Curb hand biting with bad smells.  Keep some extra toys in your pocket.,3
1824,How to Target Train a Cat2, Present the target close to your cat's nose.  Click and treat your cat when they look at the target.  Present the target again.  Click and treat your cat when it touches the target.  Move the target slightly.,5
1825,How to Target Train a Cat3, Move the target away from your cat.  Click and treat once they touch it.  Continue to move the target further away.,3
1826,How to Target Train a Cat4, Target train your cat to move off surfaces.  Lure your cat into a crate with a target.  Use target training to get your cat comfortable with touch.  Teach your cat to sit.,4
1827,How to Identify a British Shorthair Cat1, Look at the cat's face and head.  Check the cat's body.  Look at the cat's legs.  Examine the coat.  Look at the cat's eyes.  Weigh the cat.  Monitor the cat's health.,7
1828,How to Identify a British Shorthair Cat2, Observe the cat's demeanor.  Test the cat's interest level in being carried.  Don't try using the frequency of the cat's meowing to identify it.,3
1829,How to Identify a British Shorthair Cat3, Locate a reputable breeder.  Look for red flags.  Check the conditions.  Don't rush the purchase.,4
1830,How to Identify a Bombay Cat," Check for shiny, black fur.  Look for the gold or copper eyes.  Note the rounded appearance.  Notice the cat's muscular but not stocky build.  Seek out the characteristic walk.  Pay attention to a noisy cat.  Be on the lookout for smarts.  Notice an inquisitive nature.  Check for an easy-going and sociable cat.",9
1831,How to Identify a Burmilla Cat1, Check the fur.  Look at the cat's head.  Look at the cat's ears.  Check the forehead.  Look at the cat's eyes.  Observe the basic contours of the body.  Check the cat's limbs.  Weigh the cat.,8
1832,How to Identify a Balinese1, Check the cat's coat length and texture.  Note the color of the cat's coat and tail.  Look at the shape of the cat.,3
1833,How to Identify a Burmilla Cat2, Monitor the cat's behavior.  Monitor your cat's health.  Get a DNA test.,3
1834,How to Identify a Burmilla Cat3, Research Burmilla cats.  Decide what kind of cat experience you want.  Buy from a reputable breeder.  Adopt from a rescue shelter.  Check the conditions in which the cat is kept.  Be patient.,6
1835,How to Identify a Balinese2," Notice if the cat appears smart and friendly.  Check if the cat likes to ""talk"" or make loud noises.  Notice if the cat enjoys playing and climbing indoors.",3
1836,How to Identify a Balinese3, Ask a breeder to confirm the breed of the cat.  Speak to your vet about identifying the cat.  Get a DNA test done on the cat.,3
1837,How to Identify a Bengal Cat," Check for a spotted coat.  Look for the right color pattern.  Notice the large, athletic build.  Watch for active behavior.  Notice if the cat is affectionate.  Listen for their distinctive meow.  Consult a reputable breeder.  Check with Bengal breed organizations.  Ask your veterinarian.",9
1838,How to Groom a Siamese Cat," Brush the cat's coat weekly.  Trim the cat's nails every 10-14 days.Nail maintenance is important for all cats to keep the nails healthy and discourage scratching.  Brush the cat's teeth daily if possible.  Schedule vet visits yearly or bi-yearly.  Get regular dental cleanings to maintain oral health.  Offer your Siamese small treats after grooming sessions.  If your cat resists grooming, use calming strategies.  Consider having a professional trim your cat's nails.  Try a finger wrapped in gauze if your cat doesn't like a toothbrush.  Look for food and water additives for oral health help.  Give baths only when the cat is especially dirty.  Work out matted patches of hair carefully.  Apply a conditioner to the coat for gorgeous presentation.",13
1839,How to Socialize Your Adult Cat, Let the cat have its space.  Add a radio for company.  Hang out with the cat.  Encourage interaction with treats.  Play with the cat.  Work on petting.  Respond to aggression with gentleness.  Choose a gentle introduction.  Play with your cat.  Try a few treats.  Let your cat sniff the person.  Don't try to force the cat.  Have a petting session.  Work on paws.  Teach it not to struggle.  Give them each their space.  Feed them on either side of the door.  Give the cat a chance to explore on its own.  Introducing the animals.  Watch their interactions.,20
1840,How to Decide if a Siamese Cat Is Right for You, Learn about the positive traits of Siamese Cats.  Consider a Siamese if you would like a dog but cannot have one.  Be aware of the health problems associated with Siamese cats.  Understand that Siamese cats differ from other cat breeds.  Expect difficulty training your Siamese cat.  Be aware that Siamese cats are extremely vocal.  Keep in mind that Siamese cats crave company.  Decide if you can make your home safe enough for a new cat or kitten.  Adopt a Siamese from a Siamese rescue group or from a shelter.  Buy a Siamese from a responsible breeder.  Ask your veterinarian for recommendations.,11
1841,How to Identify a Burmese Cat1," Look for golden eyes.  Look at the cat's legs.  Weigh the cat.  Look for a wedge-shaped head.  Look for flaring ears.  Check for a muscular and heavier cat.  Look at the color of the cat's fur.  Look for a short, silky coat.",8
1842,How to Find the Right Cat Breed for You, Assess what kind of lifestyle you have.  Pick the physical attributes you want and don't want.  Decide whether you want an adult cat or a kitten.  Figure out whether you would like a male or a female cat.  Decide what type of cat you would like.  Research cat breeds in general.  Look at information about the personalities of different cat breeds.  Research the history and health problems of your top cat breeds.  Contact a breeder.  Go and see your chosen cat.  Assess the health and get a health history of the cat.  Adopt your cat.,12
1843,How to Identify a Burmese Cat2, Monitor the cat's health.  Observe the cat's behavior.  Listen to the cat.  Get a genetic test.,4
1844,How to Choose a Hypoallergenic Cat Breed1, Try a Devon Rex.  Think about a Sphynx cat.  Look at a Balinese.  Consider an Oriental Shorthair.  Check out a Siberian cat.  Spend time with the cat you want to adopt.,6
1845,How to Care for Toygers1, Vaccinate your cat.  Deworm your cat.  Spay or neuter your cat.  Take her for regular checkups.,4
1846,How to Choose a Hypoallergenic Cat Breed2, Brush your cat often.  Try bathing or wiping your cat down.  Wash your hands after touching the cat.  Have yourself tested for allergies.,4
1847,How to Choose a Hypoallergenic Cat Breed3," Vacuum and dust regularly.  Add a HEPA air purifier to your house.  Keep the cat out of your bedroom.  Wash clothing, pillows, and bedding often.  Choose hard surfaces.",5
1848,How to Care for Toygers2, Brush your Toyger's fur.  Trim her nails.  Clean her ears.  Brush her teeth.,4
1849,How to Care for Toygers3, Feed her the right foods.  Avoid overfeeding her.  Buy her a scratching post.  Get her the right toys.  Bond with her.  Teach her tricks.,6
1850,How to Care for Sphynx Cats1, Feed your Sphynx cat often.  Set up a litter box.  Provide scratch posts.  Keep your Sphynx cat warm.  Protect your cat from sun exposure.,5
1851,How to Care for Siamese Kittens," Use the same food your breeder used, if possible.  Get a high quality kitten food.  Feed your kittens four times a day.  Make sure your kittens have access to water.  Ask about taurine.  Find a quality vet.  Get the necessary vaccinations.  Talk to your vet about worms and parasites.  Ask about breed-specific health problems.  Talk to your vet about preventing obesity.  Provide perches.  Choose safe toys.  Opt for puzzle toys.  Spend a lot of time with your kittens.",14
1852,How to Care for Persian Cats1, Start brushing your cat's fur at an young age.  Get a great comb that works well on Persian fur.  Learn the proper way to brush your Persian's fur.  Brush your cat's fur every day so that she stays healthy.  See a professional groomer.,5
1853,How to Care for Ragdoll Cats, Give your ragdoll extra food during growth spurts.  Opt for canned food over dry food.  Talk to your vet about supplements.  Avoid food with a lot of grains.  Provide an easily accessible litter box.  Make sure your ragdoll gets exercise.  Groom your ragdoll regularly.  Get your ragdoll vaccinated.  Provide clean water.  Invest in scratching posts.  Clean your cat's teeth regularly.  Monitor young children's interaction with a ragdoll.  Keep your ragdoll indoors.  Have blood work done after your cat is a year old.  Get your ragdoll screened for heart conditions.,15
1854,How to Care for Sphynx Cats2, Bathe your cat regularly.  Wash your cat's ears.  Clean your cat's eyes.,3
1855,How to Care for Sphynx Cats3, Give your Sphynx a lot of attention.  Satisfy the Sphynx's natural curiosity.  House your Sphynx cat inside.  Consider companions for your Sphynx cat.  Provide places for the cat to climb.,5
1856,How to Care for Sphynx Cats4, Vaccinate your cat.  Desex your cat.  Control parasites and worms.,3
1857,How to Care for Persian Cats2, Understand the term brachycephalic.  Keep your cat's nose clean.  Get your cat vaccinated regularly.,3
1858,How to Care for Persian Cats3, Be aware that Persian's can have eye problems because of how their faces are structured.  Wipe away your cat's excess tears.  Understand why Persian cat eye fluid turns brown.,3
1859,How to Care for Persian Cats4, Be alert for any signs of illness.  Watch out for polycystic kidney disease (PKD).  Look for symptoms of Hypertrophic Cardiomyopathy (heart disease).  Pay attention to signs of Progressive Retinal Atrophy (PRA).,4
1860,How to Care for Norwegian Forest Cats1," Select a high-quality cat food.  Feed your Norwegian forest cat two measured meals per day.  Provide lots of fresh, clean water for your Norwegian forest cat.  Give your Norwegian forest cat treats.",4
1861,How to Care for Norwegian Forest Cats2, Brush your Norwegian forest cat's fur weekly.  Trim your Norwegian forest cat's claws.  Clean your Norwegian forest cat's teeth.  Bathe your Norwegian forest cat if necessary.,4
1862,How to Care for Norwegian Forest Cats3, Give your Norwegian forest cat a soft bed.  Put up scratching posts for your Norwegian forest cat.  Provide enough litter boxes for your Norwegian forest cat.  Take your Norwegian forest cat to visit a veterinarian.  Spay or neuter your Norwegian forest cat.,5
1863,How to Care for Norwegian Forest Cats4, Pet your Norwegian forest cat.  Give your Norwegian forest cat a puzzle toy.  Try hunting-instinct toys with your Norwegian forest cat.,3
1864,How to Care for Manx Cats1," Select a high-quality cat food.  Feed your Manx on a regular schedule.  Give your Manx plenty of fresh, clean water.  Give your Manx some treats.",4
1865,How to Put on a Cat Harness, Pick a type of cat harness.  Figure out what size harness your cat will need.  Buy a harness for your cat.  Orient yourself with how the figure-eight harness should sit on the cat.  Place the small loop over the cat's head.  Connect the large loop around the cat's midsection.  Check the fit of the harness.  Let your cat get used to the harness while indoors.You want the cat to get so used to the harness that it basically forgets that it is wearing a harness.  Orient yourself with how the H-harness fits onto the cat.  Place the harness on your cat.  Check the fit of the harness.  Let your cat adjust to wearing the harness.You want your cat to get so used to the harness that it forgets it's wearing it.,12
1866,How to Care for Tonkinese," Get your cat vaccinated.  Consider spaying or neutering your cat.  Take your Tonkinese for regular veterinary exams.  Get your cat used to teeth brushing.  Get your cat's teeth professionally examined.  Know when to take your cat to the veterinarian.  Purchase a quality cat food.  Serve your cat small, frequent meals.  Check your cat's skin when you groom.  Trim your cat's nails.  Choose a litter box setup.  Give your Tonkinese a scratching post.  Play with your Tonkinese.  Set up high places.",14
1867,How to Care for Manx Cats2, Brush your Manx's fur occasionally.  Trim your Manx cat's claws.  Clean your Manx's teeth.  Bathe your Manx if necessary.,4
1868,How to Care for Manx Cats3, Pet your Manx.  Give your Manx lots of fun toys.  Provide scratching posts for your Manx.  Provide enough litter boxes for your Manx.,4
1869,How to Care for Manx Cats4, Take your Manx to see a veterinarian.  Spay or neuter your Manx.  Watch for signs of a neurological defect.,3
1870,How to Care for Ocicats1," Select a high-quality cat food.  Feed your Ocicat two measured food portions per day.  Give your Ocicat plenty of fresh, clean water.  Give your Ocicat treats.",4
1871,How to Care for Ocicats2, Brush your Ocicat's fur once per week.  Trim your Ocicat's claws.  Clean your Ocicat's teeth.  Bathe your Ocicat if necessary.,4
1872,How to Care for Ocicats3, Pet your Ocicat.  Give your Ocicat a puzzle toy.  Play fetch with your Ocicat.  Take your Ocicat for a walk.,4
1873,How to Care for Ocicats4, Give your Ocicat a soft bed.  Put up scratching posts for your Ocicat.  Provide enough litter boxes for your Ocicat.  Take your Ocicat to see a veterinarian.  Spay or neuter your Ocicat.,5
1874,How to Set Up an Outdoor Bird Feeder for Indoor Cats, Select a type of bird feeder to hang.  Find a window to hang the feeder in front of.  Secure the window and the screen.  Hang a bird silhouette or reflector in the window.  Install a ground feeder.  Set up a hanging feeder.  Hang up a window feeder.  Purchase bird seed for the feeder.  Refill the feeder regularly.  Show the birds to your cats.  Position a piece of furniture near the window overlooking the bird feeder.  Make sure your cats stay indoors.,12
1875,How to Put an Elizabethan Collar on a Cat, Measure your cat's neck size.  Fold the collar.  Thread the long plastic tab.  Thread the three smaller plastic tabs.  Run your cat's collar through the loops.  Pick up your cat.  Hold the cat.  Slide the Elizabethan collar on to your cat.  Close the collar.  Get professional help.  Refrain from taking the collar off.  Ask your veterinarian about alternatives.,12
1876,How to Set Up Cat Shelves, Select a safe location.  Choose an area your cat spends time in.  Consider the height.  Map out where you want the shelves on the wall.  Choose shelves of different sizes.  Choose a design for the shelves.  Choose a covering for the shelves.  Buy shelves.  Make your own shelves.  Attach the carpet to the shelves.  Place brackets on the board.  Buy wall anchors for the appropriate weight.  Use a level before mounting the shelf.  Mount the shelf on the wall.,14
1877,How to Measure Clothing for Your Cat, Measure a calm cat.  Measure your cat's length.  Measure your cat's width.  Measure any other relevant areas.  Buy an outfit.  Sew an outfit.  Try it on for safety.,7
1878,How to Put Nail Caps on Your Cat, Get clippers.  Situate your cat.  Clip the cat's claw.  Choose the right nail caps.  Ready your materials.  Ask a friend for help.  Soothe your cat during the process.  Cradle your cat in your lap.  Extend your cat's claws.  Put the nail caps on.,10
1879,How to Measure a Cat for a Harness," Have a flexible measuring tape.  Have a friend holding the cat for you while measuring because cats can be quite playful while you're busy measuring.  Measure the cat both ways, CM and INCHES to make sure you have the measurement right.  , Measure the neck.  Measure from the back of the neck to the back of the cat's shoulders.  Measure from under the cat's neck to the back of its front legs.  Measure the cat's front part of the body.  Measure the cat's leg size to fit into the harness.  Using your cat's measurement, you can now make its harness or buy a custom made one.  ",9
1880,How to Make Catnip Spray," Get your hands on some catnip.  Boil a pot of water on the stove.  Add the catnip to the water.  Let the catnip steep.  Remove the catnip and allow the tea to cool.  Add the tea to a spray bottle.  Spray the catnip to make your cat ""freak out"".  Spray the catnip on the cat's bedding.  Spray the catnip on the cat's toys.  Spray the catnip on the cat's food.  Be ready for your cat to act bizarrely!, Know which usages to avoid.",11
1881,How to Start a Goat Farm, Check local zoning regulations.  Plan on getting at least two goats.  Decide how many male and female goats to purchase.  Select the age of the goats.  Choose a goat breed.  Plan out costs.  Build excellent fencing.  Build a goat shelter.  Remove poisonous or strong-smelling plants.  Acquire supplies.  Remove the horn stubs of young goats.  Castrate most young males.  Breed your does.  Milk goats daily.  Find experts to consult in case of serious problems.  Find out where to sell your product.,16
1882,How to Make Cat Polos1," Cut four strips of felt.  Spray the strips of felt with water until dampened.  , Iron the dampened felt strips on iron setting 3.  Take the ironed felt and cut into the sides of the strips.  Put a small square of Velcro on one end of the polo and hot glue it in place.  Done.",6
1883,How to Wash a Goat, Get goat specific shampoo.  Tie up the goat in an open area with a drain.  Ask someone to help you wash the goat.  Mix the shampoo and water together in a bucket.  Pour the soapy mixture over the goat.  Rinse off the goat with clean water.  Let the goat air dry if it's hot out.  Blow dry the goat.  Use a clean towel to dry the goat.,9
1884,How to Make Cat Polos2," Cut eight strips of felt.  Spray the strips of felt with water until dampened.  , Iron the dampened felt strips on iron setting 3.  Stitch two lengths together into a tube shape.  Pull the polos onto the cat's legs one by one.  ",5
1885,How to Spot a Good Milker (Goats), Consider the character of the doe.  Check her udder.  Look at the teats.  Feel and look at her rib cage.  Look at her legs and gait.  Check the condition of her coat.  Look at her eyes.  Look at the condition of the whole herd when purchasing does.,8
1886,How to Harvest Cashmere, Clip the goats between the end of June (mid-winter southern hemisphere) and before September.  Measure the down.  Try to avoid the worst of the winter weather.  Shear the goats in different colour lots to avoid cross-contamination of the fleeces.  Place the goat in a shearing restraint for shearing.  Feed and shelter well.  Sort the fleeces.,7
1887,How to Sew a Catnip Mouse," Fold the felt square in half.  Draw half a heart on the square using the chalk.  Cut along the line.  Fold the heart again and begin to sew up the edges, starting at the point, using a blanket stitch or whip stitch.  , When you are 2/3 done, stuff the mouse with the dried catnip.  , Finish sewing, so that the mouse is a little bag.  Use the fabric paint to add eyes and whiskers, if desired.",7
1888,How to Make Kitten Toys1, Find a sturdy stick or dowel.  Cut a length of string or fishing line.  Attach the string to the dowel.  Tie the feathers onto the length of string.,4
1889,How to Make a Simple Cat's Bed1," Pick out a cardboard storage box the right shape and size for your cat.  Cut a square or circular door-hole in the front of the box.  Customise the bed specifically to your cat's needs, likes and dislikes.  Add a soft, comfortable base to the bed.",4
1890,How to Show a Goat in 4H," Select a quality goat.  Provide a safe environment.  Feed your goat high quality food.  Give your goat plenty of water.  Provide proper vitamins and minerals.  Adjust your goat's food as necessary.  Cut your goat's hair.  Trim your goat's hooves.  De-horn your goat, if necessary, should be done when kids are 4 to 10 days old.  Review the rules of your specific show.  Practice in a barn.  Get scrapie tag and official ID with the Board of Animal Health.  Present your goat.  Move your goat when asked.  Shift your goat's position when asked.",15
1891,How to Build a Labyrinth for Your Cat," Get a discarded box with dividers.  Clean the box by wiping it with a dry piece of cloth.  Re-arrange the dividers back into the box.  Cut two holes.  Cut a few more holes on the dividing walls inside the box.  Secure the lids of the box with tape.  , Introduce your cat to the labyrinth.",7
1892,How to Make Kitten Toys2, Stand a toilet paper tube upright.  Draw a circle around the tubes on a piece of cardboard.  Cut the circles out.  Tape one circle to the end of the tube.  Put some cat food or treats in the tube.  Close the roll with the other circle.  Punch small holes in the top and bottom of the tube.  Decorate the toy.,8
1893,How to Make Kitten Toys3, Find an empty medicine bottle.  Add some noisemakers to the bottle.  Put the top back on.  Supervise your cat while it plays.,4
1894,How to Make a Simple Cat's Bed2," Create the perfect ""hideout"" for the more intrepid cat.  Make the frame.  Pull the t-shirt over the frame.  Place the tent over a comfortable base.",4
1895,How to Make a Simple Cat's Bed3," Choose an old sweater.  Stitch the seamed edge of the sleeve to the side of the sweater.  Fold the bottom edge of the sweater.  Make a running stitch from one ""armpit"" to the other.  Stuff the edge of the sweater until you have a sausage-like ring.",5
1896,How to Make a PVC Pet Bed," Get your PVC pieces all together.  Start assembling them.  If your cloth that you will be using is new, wash it.  Take the larger sheet of material and wrap it around the sides of the bed.  , Find some way of fastening them.  Finished.  ",6
1897,How to Make a Comfortable Bed for Your Cat," Start by getting a cardboard box your cat can fit in perfectly.  Cut an entrance way in it.  Decorate the box on the outside any way you want and also put your cat's name at the top.  Make it comfortable on the inside.  Make, take or buy a blanket to lay on the base.",5
1898,How to Clean Cat Beds, Loosen the hair.  Vacuum the cat bed.  Use a lint brush.  Remove extra debris.  Wash the cover in the washing machine.  Kill fleas in the wash. Wash the cover in hot water if you suspect there are fleas.  Dry the cover.  Shake out the mattress.  Wash the mattress.  Rinse the mattress or pad.  Dry the mattress.,11
1899,How to Choose a Cat Bed1, Buy a bed made from natural fabrics.  Choose a washable bed.  Avoid beds with tassels and beads.,3
1900,How to Choose a Cat Bed2, Measure the length of your cat.  Consider a cup-style bed.  Try a cave-style bed.  Consider the height of the bed.,4
1901,How to Choose a Cat Bed3, Try a cat tree with a perch.  Consider a heated bed.  Consider the price.,3
1902,How to Choose a Cat Bed4, Place the bed where your cat enjoys sleeping.  Locate the bed in a sunny spot.  Try a higher perch.,3
1903,How to Find the Best Bed for Your Cat," Take the following into consideration:   Materials/Fabric.  Avoid choosing a cat bed that has hanging fabric or strings because your cat could easily try to eat these materials.  , Consider where your cat prefers to sleep.",3
1904,How to Make a No Sew Pet Bed1," Gather your fleece.  Cut two pieces of fleece into a rectangle shape.  Cut out strips.  Create corners.  Tie all the strips together, except for one side of the covering.",5
1905,How to Make a No Sew Pet Bed2, Consider using a pillow.  Try stuffing your bed.  Tie the remaining strips together.,3
1906,How to Make a No Sew Pet Bed3, Watch out for harmful household cleaners.  Avoid products containing formaldehyde.  Look into pet-proof fabrics.,3
1907,How to Make Cat Toys out of Common Household Items1, Cut a piece of cardboard into a rectangular shape.  Fold the cardboard over and poke the end of the string through it.  Draw the cardboard up the string a bit and fold over the bottom.  Hold the end of the string and wave the cardboard near your cat.,4
1908,How to Make Cat Toys out of Common Household Items2, Find an empty pill bottle.  Open the pill bottle and place one or two small jingle bells inside.  Make sure the toy is sealed shut.,3
1909,How to Make Cat Toys out of Common Household Items3," Find a small stuffed animal.  Cut a small hole in the bottom of the stuffed animal.  If stuffing is leaking out, remove enough of it so that your cat will not try to pull out or eat the stuffing.  Squirt a small dab of glue onto one end of the straw.  Hold the end of the straw and wave it around in front of your cat.",5
1910,How to Make Cat Toys out of Common Household Items4," Wear an old sock for a few hours.  Take a large pinch of catnip in your hand.  Drop the catnip in the toe.  Grip the toe of the sock with the catnip inside and pull the sock off.  Repeat this, adding a bit more catnip for every layer.  Tie a knot in the end of the sock.  Give the toy to your cat.",7
1911,How to Make Cat Toys out of Common Household Items5, Poke a hole through a ball and feed a string through.  Attach the end of the string to a stick.  Wiggle the end of the string around the room.  Fix the pole to a board for solo-play.,4
1912,How to Make Cat Toys out of Common Household Items6, Find a long stick.  Attach a small cluster of feathers to the stick.  Wiggle the toy around.,3
1913,How to Make Cat Toys out of Common Household Items7, Darken the room.  Grab a flashlight or laser pointer.  Turn on the flashlight and move it around the room.,3
1914,How to Make Cat Toys out of Common Household Items8," Find a pretty long flexible belt or thick string, about 3 feet (0.9 m) long or more.  Tie the stuffed animal to the string or flexible belt.  Play with the toy.",3
1915,How to Make Cat Toys out of Common Household Items9," Get a sock, some yarn, catnip, scissors, and a sewing needle and thread.  Cut the heel off the sock.  Fill the sock piece with catnip.  Insert one end of the yarn or thread into the sock's hole.  Make the ears.  Sew the ears on near the front of the toy.  Twist the leg part of the sock to form a tail.  Give the toy to your cat.",8
1916,How to Make Cat Toys out of Common Household Items10, Gather materials.  Cut off the toe from the sock.  Fill the sock with catnip and sew it shut.  Wrap the sock with yarn.  Sew on some feathers.  Wave it in front of your cat.,6
1917,How to Make Catnip Filled Sock Toys1," Find an old unwanted sock.  Slide a toilet roll inside the sock.  Stuff some dried catnip into the sock.  , Tie the loose end of the sock in knot.  Cut out two eye shapes from felt.  Done.",6
1918,How to Make Cat Toys out of Common Household Items11," Find an old, unwanted stuffed animal.  Cut a little hole.  Tie a string or ribbon around the toy if you want to drag it around for your cat.  Give your cat the new toy.",4
1919,How to Make Catnip Filled Sock Toys2, Find a suitable sock.  Push a handful of dried catnip into the toe zone of the sock.  Tie the end of the sock together.  Add a face to the catnip mouse sock.  See if your cat likes this new mouse in the house.  ,5
1920,How to Make Catnip Filled Sock Toys3," Find an unwanted sock.  Stuff it with catnip and old rags or fabric scraps.  , Tie the sock off tightly.  , Give to the cat.",4
1921,How to Make Catnip Filled Sock Toys4," Find an unwanted knee-length sock.  Sprinkle a decent amount of dried catnip into the toe section of the knee-high sock.  , Add stuffing to the sock.  Add some more catnip as you stuff.  Continue alternating between stuffing and sprinkling.  Place on the floor.",6
1922,How to Make a Cat Bed from an Old Sweater1," Find a soft sweater.  Sew up the neckline.  Sew across the sweater from one armpit to the other.  Stuff the arms of the sweater with polyester fiberfill.  Tuck one cuff inside the other.  Sew the arms together using a whipstitch.  Cut the excess material off of the bottom of the sweater, if needed.  Consider stuffing the body of the sweater.  Sew the sweater to the arms using a whipstitch.",9
1923,How to Make a Pet Bed from an Old Suitcase1, Look for old luggage in your basement or attic.  Plan how you'll use the suitcase for your pet.  Test the suitcase to see if your pet will sit in it.,3
1924,How to Make a Bed for Your Cat1, Find a box.  Remove the flaps from the box.  Cut an opening in the front.  Decorate the outside of the box.  Line the inside of the box.,5
1925,How to Choose a Heated Cat Bed or Pad1, Measure and weigh your cat.  Consider whether it will be an indoor or outdoor bed.  Measure the surface area of the location where you will place the bed.  Determine whether your cat's favorite sleeping spot is close to an outlet.  Find a washable bed.,5
1926,How to Make a Cat Bed from an Old Sweater2," Find some sweaters that are at least 50% animal fiber.  Cut the sweaters apart into flat sheets.  Felt the sweaters using a hot cycle on your washing machine.  Dry the sweaters in the dryer.  Cut your sweaters into squares and rectangles.  Pin the pieces together using 0.5-inch (1.27 -centimeter) seam allowances.  Sew the pieces together to make your front and back panels.  Sew the panels together.  Turn the pillowcase right-side-out.  Insert the stuffing, then close the pillow.",10
1927,How to Make a Pet Bed from an Old Suitcase2, Clean out the suitcase.  Remove the hinges from the suitcase if you plan to only use one side.,2
1928,How to Make a Pet Bed from an Old Suitcase3, Try simply transferring the pet's current bed to the suitcase.,1
1929,How to Make a Bed for Your Cat2, Gather materials.  Attach the legs.  Place the pillow inside.  Make decorations.  Decorate the inside of the lid.,5
1930,How to Make a Bed for Your Cat3," Gather materials.  Sew up the neckline of your sweater.  Sew a line from armpit to armpit.  Fill your ""tube"" with stuffing.  Sew the sleeves together.  Attach the bottom.",6
1931,How to Choose a Heated Cat Bed or Pad2, Choose memory foam for heavier and arthritic cats.  Look for color-fast fabrics.  Choose quick-drying fabrics.  Evaluate the quality of the materials.  Check if the bed has removable covers.,5
1932,How to Choose a Heated Cat Bed or Pad3," Look for chew-proof designs.  Pick a heating pad.  Choose a smaller, circular bed for cats that like to snuggle.  Consider a fully enclosed bed.  Find a bed with a hood.  Avoid beds with a lot of loose fabric and strings.",6
1933,How to Make a Furry Mouse Toy for Cats," Gather materials.  Cut out a square of fabric.  Use your fabric chalk to sketch a mouse shape.  Cut out your semi-circle, maintaining the fold.  Cut out two ears and two eyes.  Create a tail.  Use hot glue to attach ears and eyes.  Use hot glue to attach the tail.  Sew the mouse 3/4 of the way closed.  Stuff the mouse.  Add catnip (if using).  Finish sewing the mouse closed.",12
1934,How to Make a Cat Tree1, Design your cat tree.  Buy your materials.  Cut all materials to size.  Build the base of your cat tree.  Cover the base in carpet.  Attach the vertical supports to the base.  Attach the horizontal perches to the supports.  Continue building according to your design.,8
1935,How to Make a Crinkle Play Bag for Your Cat," Gather materials.  Create your layers.  Secure your layers.  Choose your trim.  Line up your trim.  Attach the trim to your crinkle fabric.  Fold your crinkle fabric in half the ""wrong"" way.  Sew the side and bottom together.  Turn the bag right side out.",9
1936,How to Make an Inexpensive Cat Toy," Gather Your Materials Grab a big square of fabric that you don't particularly care about (if it gets destroyed by your kitty).  Start Working Fold your fabric in a place where the edges line up fairly well.  Filling If you prefer to leave a nice clean edge on your toy, turn it inside-out so the fringe won't show.  Sewing Shut Now, with all the fillings inside of the toy, sew the opening shut.  Playtime.",5
1937,How to Make a Cat Tree2, Obtain a ladder.  Gather your supplies.  Sand and paint your ladder and wood pieces.  Nail the plywood platforms to the ladder.  Install the hammock.  Wrap the ladder legs in rope.  Finish up.,7
1938,How to Make a Cheap Cat Teaser Toy," Find a ponytail holder with decorative baubles or the like.  Tie a long, fancy, but durable ribbon to it.  Attach this to a long stick.  Simply shake it in front of the cat to play.",4
1939,How to Make a Kitty Scratching Post for Your Kitten," Cut the wood.  Cut the 2x4 board to 16"" long, making sure that you have at least one very square and straight edge to stand the post up on.  Cut the plywood down to 12"" by 12"".  , Cut the carpet.  Mark the center of the bottom of the carpet square.  Mark the center of the plywood square and drill a hole there.  Place the square plywood base onto large carpet square, aligning the center hole on the plywood to the center of the hole cut from the carpet.  Wrap the post.  Put the cap on.  Using the scissors, clip the top of the post as best you can to make it look it finished.  Finish the base.  Attach the post to the base.  Check your work.  Get your kitty to discover his post on his own terms:   Fetch that 2 foot (0.6 m) length of string.",14
